Side Chest Airbag-Driver,Side Chest Airbag-Passenger,AEB Vulnerable Road Users,Side Head Airbag-Driver,Side Head Airbag-Passenger,Seatbelt Reminder-Passenger,AEB Car-to-Car,Belt Loadlimiter-Rear,Belt Pretensioner-Rear,Side Head Airbag-Rear,Lane Assist System,Seatbelt Reminder-Rear,Safety Assist,Speed Assistance,Adult Occupant,Centre Airbag-Driver,Child Occupant,Rate,Tested Model,Isofix/i-Size-Passenger
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,97.0,0,90.0,5,144,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,96.0,0,80.0,5,19,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,97.0,0,83.0,5,19,1
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,96.0,0,83.0,5,182,0
0,0,0,0,0,0,0,2,2,0,1,0,55.0,1,73.0,0,70.0,3,0,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,93.0,0,87.0,5,13,2
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,94.0,0,84.0,5,65,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,92.0,0,81.0,5,120,1
0,0,0,0,0,0,0,0,0,0,1,0,70.0,1,90.0,0,85.0,5,123,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,94.0,0,85.0,5,154,2
0,0,0,0,0,0,0,0,0,0,1,0,55.0,1,81.0,0,83.0,3,235,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,95.0,0,89.0,5,224,0
0,0,0,0,0,0,0,0,0,0,1,0,55.0,1,81.0,0,83.0,3,235,1
0,0,0,0,0,0,0,0,0,0,1,0,55.0,1,81.0,0,83.0,3,235,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,94.0,0,87.0,5,16,2
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,92.0,0,86.0,5,12,2
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,92.0,0,86.0,5,61,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,96.0,0,87.0,5,62,1
0,0,0,0,0,0,0,0,0,0,1,0,58.0,1,82.0,0,84.0,3,98,1
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,91.0,0,84.0,4,166,2
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,93.0,0,84.0,5,167,2
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,85.0,0,83.0,5,175,1
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,96.0,0,83.0,5,182,0
0,0,0,0,0,0,0,0,3,0,1,0,62.0,1,89.0,0,78.0,4,230,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,97.0,0,91.0,5,198,1
0,0,0,0,0,0,0,0,0,0,1,0,94.0,1,98.0,0,81.0,5,208,1
0,0,0,0,0,0,0,0,3,0,1,0,62.0,1,89.0,0,78.0,4,230,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,92.0,0,88.0,5,252,0
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,87.0,0,86.0,5,56,1
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,99.0,0,86.0,5,118,1
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,92.0,0,88.0,5,139,1
0,0,0,0,0,0,0,0,0,0,1,0,69.0,1,84.0,0,86.0,4,160,2
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,83.0,0,87.0,5,16,2
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,97.0,0,87.0,5,18,1
0,0,0,0,0,0,0,0,0,0,1,0,69.0,1,80.0,0,78.0,4,95,1
0,0,0,0,0,0,0,0,0,0,1,0,71.0,1,91.0,0,86.0,4,168,2
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,95.0,0,85.0,5,5,0
0,0,0,0,0,0,0,1,1,1,1,1,76.0,1,97.0,0,87.0,5,25,0
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,87.0,5,58,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,91.0,5,136,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,90.0,5,146,1
0,0,0,0,0,0,0,0,0,0,1,0,74.0,1,88.0,0,85.0,5,196,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,96.0,0,85.0,5,250,2
0,0,0,0,0,0,0,0,0,0,1,0,63.0,1,87.0,0,86.0,4,40,0
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,96.0,0,86.0,5,40,0
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,88.0,0,85.0,4,101,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,88.0,0,85.0,5,101,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,90.0,5,133,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,91.0,0,90.0,5,141,1
0,0,0,0,0,0,0,0,0,0,1,0,94.0,1,96.0,0,86.0,5,206,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,97.0,0,87.0,5,253,2
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,91.0,0,85.0,5,14,2
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,96.0,0,85.0,5,115,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,98.0,0,87.0,5,127,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,89.0,5,183,0
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,95.0,0,84.0,5,213,1
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,93.0,0,87.0,5,216,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,97.0,0,86.0,5,231,0
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,87.0,0,86.0,4,31,0
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,89.0,0,86.0,5,30,0
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,94.0,0,87.0,5,178,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,93.0,0,83.0,5,73,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,90.0,0,83.0,5,138,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,97.0,0,84.0,5,194,0
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,91.0,0,81.0,4,172,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,93.0,0,85.0,5,7,2
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,95.0,0,86.0,5,9,2
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,89.0,0,86.0,5,24,1
1,1,0,0,0,0,0,2,2,0,2,0,7.0,2,45.0,0,16.0,0,50,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,94.0,0,88.0,5,85,0
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,91.0,0,81.0,5,89,1
0,0,0,0,0,0,0,2,2,2,2,0,32.0,1,50.0,0,69.0,1,99,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,96.0,0,86.0,5,171,2
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,96.0,0,84.0,5,241,2
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,96.0,0,84.0,5,241,2
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,91.0,0,81.0,4,172,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,94.0,0,87.0,5,84,1
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,91.0,0,87.0,5,112,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,95.0,0,91.0,5,130,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,96.0,0,91.0,5,132,1
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,91.0,0,81.0,4,172,1
0,0,0,0,0,0,0,0,0,0,1,0,68.0,1,91.0,0,81.0,4,172,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,93.0,0,85.0,5,7,2
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,92.0,0,79.0,4,67,1
0,0,0,0,0,0,0,0,0,0,1,0,50.0,1,73.0,0,84.0,3,100,1
0,0,0,0,0,0,0,0,2,0,1,0,81.0,1,89.0,0,86.0,5,233,1
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,85.0,0,87.0,5,58,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,97.0,0,87.0,5,242,2
0,0,0,0,0,0,0,0,0,0,1,0,71.0,1,93.0,0,86.0,5,155,0
0,0,0,0,0,0,0,0,2,0,2,0,25.0,2,72.0,0,56.0,3,2,1
0,0,0,0,0,0,0,0,0,0,3,0,59.0,1,86.0,0,85.0,5,21,1
0,0,0,0,0,0,0,0,0,0,2,0,37.0,1,71.0,0,66.0,3,44,1
0,0,0,0,0,0,0,2,2,0,2,2,29.0,1,69.0,0,37.0,3,39,1
1,1,0,2,2,1,0,2,2,3,2,2,0.0,3,51.0,0,43.0,0,51,1
0,0,0,0,0,0,0,2,2,0,3,2,29.0,1,76.0,0,60.0,3,59,1
0,0,0,0,0,0,0,2,2,0,3,2,29.0,1,76.0,0,60.0,3,59,1
0,0,0,0,0,0,0,0,0,0,1,0,60.0,1,87.0,0,85.0,5,83,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,93.0,0,85.0,5,94,1
0,0,0,0,0,0,0,0,0,0,1,2,82.0,1,93.0,0,81.0,5,109,1
0,0,0,0,0,0,0,0,0,0,3,0,25.0,3,85.0,0,84.0,3,106,1
0,0,0,0,0,0,0,0,0,0,0,0,59.0,3,93.0,0,84.0,5,106,1
0,0,0,0,0,0,0,2,2,0,2,2,29.0,1,71.0,0,51.0,3,122,1
0,0,0,0,0,0,0,0,0,0,3,0,25.0,3,61.0,0,60.0,3,161,1
0,0,0,0,0,0,0,2,2,0,3,0,25.0,3,74.0,0,63.0,3,209,1
0,0,0,0,0,0,0,2,2,0,0,0,57.0,3,82.0,0,63.0,4,209,1
0,0,0,0,0,0,0,0,0,0,1,0,57.0,3,83.0,0,80.0,5,218,1
0,0,0,0,0,0,0,0,0,0,3,0,58.0,1,93.0,0,84.0,5,23,1
0,0,0,0,0,0,0,0,0,2,2,0,25.0,2,74.0,0,78.0,3,36,1
0,0,0,0,0,0,0,0,0,0,1,0,76.0,1,91.0,0,87.0,5,41,2
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,92.0,0,75.0,5,74,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,86.0,0,87.0,5,93,1
0,0,0,0,0,0,0,0,0,0,1,0,77.0,1,90.0,0,87.0,5,143,1
0,0,0,0,0,0,0,0,0,0,3,0,62.0,1,95.0,0,80.0,5,174,1
0,0,0,0,0,0,0,0,0,0,1,0,68.0,2,94.0,0,89.0,5,199,1
0,0,0,0,0,0,0,0,0,0,1,0,68.0,2,94.0,0,89.0,5,202,1
0,0,0,0,0,0,0,0,0,0,1,0,60.0,1,85.0,0,82.0,5,33,1
0,0,0,0,0,0,0,0,0,0,1,0,71.0,1,97.0,0,78.0,5,148,1
0,0,0,0,0,0,0,0,0,0,1,0,57.0,1,85.0,0,84.0,5,163,1
0,0,0,0,0,0,0,0,0,0,2,0,60.0,1,95.0,0,80.0,5,188,1
0,0,0,0,0,0,0,0,0,0,3,0,58.0,1,93.0,0,79.0,5,195,2
0,0,0,0,0,0,0,0,0,0,1,0,95.0,1,98.0,0,87.0,5,243,2
0,0,0,0,0,0,0,0,0,0,2,0,59.0,1,96.0,0,85.0,5,228,1
0,0,0,0,0,0,0,0,0,0,1,0,71.0,3,96.0,0,87.0,5,238,1
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,93.0,0,85.0,5,180,1
0,0,0,0,0,0,0,0,0,0,1,0,60.0,1,87.0,0,84.0,5,57,1
0,0,0,0,0,0,0,0,0,0,1,2,59.0,1,90.0,0,83.0,5,96,1
0,0,0,0,0,0,0,0,0,0,2,0,25.0,3,79.0,0,64.0,3,105,1
0,0,0,0,0,0,0,0,0,0,2,0,47.0,3,87.0,0,64.0,4,105,1
0,0,0,0,0,0,0,0,0,0,3,0,25.0,3,85.0,0,84.0,3,106,1
0,0,0,0,0,0,0,0,0,0,0,0,59.0,3,93.0,0,84.0,5,106,1
0,0,0,0,0,0,0,0,0,0,3,0,59.0,1,95.0,0,80.0,5,128,1
0,0,0,0,0,0,0,0,0,2,3,0,53.0,1,89.0,0,79.0,5,135,1
0,0,0,0,0,0,0,0,0,0,1,2,72.0,1,82.0,0,73.0,4,159,1
0,0,0,0,0,0,0,0,0,0,1,0,60.0,1,84.0,0,87.0,5,164,0
0,0,0,0,0,0,0,0,0,0,1,0,75.0,1,90.0,0,79.0,5,185,1
0,0,0,0,0,0,0,0,0,0,1,0,60.0,1,97.0,0,84.0,5,3,1
0,0,0,0,0,0,0,2,2,0,1,2,61.0,2,72.0,0,32.0,3,63,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,92.0,0,67.0,4,74,1
0,0,0,0,0,0,0,0,0,2,1,0,68.0,1,88.0,0,84.0,5,88,1
0,0,0,0,0,0,0,0,0,0,1,3,69.0,1,93.0,0,85.0,5,90,1
0,0,0,0,0,0,0,0,0,0,2,0,60.0,1,95.0,0,77.0,5,192,1
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,96.0,0,85.0,5,222,1
0,0,0,0,0,0,0,0,0,0,2,0,51.0,1,90.0,0,80.0,5,125,2
0,0,0,0,0,0,0,0,0,0,3,0,49.0,1,91.0,0,79.0,4,156,0
0,0,0,0,0,0,0,0,0,0,0,0,72.0,1,91.0,0,79.0,5,156,0
0,0,0,0,0,0,0,0,0,0,3,0,54.0,1,92.0,0,77.0,5,251,2
0,0,0,0,0,0,0,0,0,0,2,0,25.0,3,83.0,0,75.0,3,205,1
0,0,0,0,0,0,0,0,0,0,2,0,44.0,3,88.0,0,75.0,4,205,1
0,0,0,0,0,0,0,0,0,0,3,0,59.0,1,91.0,0,85.0,5,20,1
0,0,0,0,0,0,0,0,2,0,2,0,25.0,2,75.0,0,46.0,3,54,1
0,0,0,0,0,0,0,0,0,0,3,0,58.0,1,93.0,0,86.0,5,11,2
0,0,0,0,0,0,0,0,0,0,1,0,58.0,1,88.0,0,83.0,4,32,2
0,0,0,0,0,0,0,2,2,0,2,2,27.0,1,66.0,0,49.0,3,53,1
0,0,0,0,0,0,0,2,2,0,2,2,29.0,1,73.0,0,61.0,3,60,1
0,0,0,0,0,0,0,0,0,0,1,0,73.0,1,90.0,0,80.0,5,111,2
