Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Rate
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,0 1,continuous,continuous
,,,,,,,,,,,,,,,,,class
87.0,86.0,54.0,63.0,40.0,11.0,2019.0,1199.0,97.0,10.0,0,0,0,1.0,0.0,0,2.0,4.0
96.0,86.0,64.0,76.0,40.0,11.0,2019.0,1199.0,96.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
88.0,85.0,52.0,68.0,101.0,14.0,2019.0,1240.0,164.0,8.0,0,0,0,1.0,0.0,0,0.0,4.0
88.0,85.0,68.0,73.0,101.0,14.0,2019.0,1240.0,165.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
96.0,90.0,78.0,75.0,133.0,10.0,2019.0,1405.0,24.0,9.0,0,0,0,0.0,0.0,0,0.0,5.0
91.0,90.0,78.0,78.0,141.0,11.0,2019.0,2235.0,23.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,86.0,74.0,94.0,206.0,6.0,2019.0,1760.0,192.0,2.0,0,0,0,1.0,0.0,0,0.0,5.0
97.0,87.0,81.0,76.0,253.0,14.0,2019.0,1138.0,228.0,8.0,0,0,0,2.0,0.0,0,0.0,5.0
91.0,85.0,71.0,76.0,14.0,11.0,2019.0,2565.0,282.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
96.0,85.0,82.0,77.0,115.0,11.0,2019.0,1580.0,254.0,11.0,0,0,0,0.0,0.0,0,0.0,5.0
98.0,87.0,81.0,73.0,127.0,14.0,2019.0,1346.0,185.0,8.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,89.0,72.0,75.0,183.0,14.0,2019.0,1110.0,84.0,12.0,0,0,0,1.0,0.0,0,2.0,5.0
95.0,84.0,86.0,77.0,213.0,14.0,2019.0,1400.0,90.0,8.0,0,0,0,0.0,0.0,0,0.0,5.0
93.0,87.0,85.0,77.0,216.0,11.0,2019.0,1730.0,217.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
97.0,86.0,81.0,80.0,231.0,26.0,2019.0,1204.0,260.0,9.0,0,0,0,1.0,0.0,0,1.0,5.0
87.0,86.0,58.0,75.0,31.0,11.0,2019.0,1495.0,71.0,10.0,0,0,0,1.0,0.0,0,2.0,4.0
89.0,86.0,67.0,82.0,30.0,11.0,2019.0,1495.0,8.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
94.0,87.0,72.0,73.0,178.0,11.0,2019.0,1956.0,119.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
93.0,83.0,70.0,76.0,73.0,11.0,2019.0,1612.0,75.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
90.0,83.0,78.0,72.0,138.0,11.0,2019.0,2451.0,129.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
97.0,84.0,79.0,79.0,194.0,21.0,2019.0,1524.0,245.0,5.0,0,0,0,0.0,0.0,0,2.0,5.0
91.0,81.0,58.0,68.0,172.0,10.0,2018.0,1510.0,220.0,9.0,0,0,0,1.0,0.0,0,2.0,4.0
93.0,85.0,81.0,76.0,7.0,6.0,2018.0,1682.0,52.0,1.0,0,0,0,1.0,0.0,0,0.0,5.0
95.0,86.0,76.0,85.0,9.0,11.0,2018.0,1646.0,211.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
